Descriptive Statistics for determining the number of factors 

  Sample Period: 1959:Q3-2017:Q4
  Static factor statistics
    Nobs =    28082 
    Nbar = 120.01 
K, trace R2, marginal r2, BN-ICP, AH-ER 
0,0,0,0
 1,  0.19754,  0.19754, -0.15972,  2.26660 
 2,  0.28470,  0.08715, -0.21434,  1.45301 
 3,  0.34468,  0.05998, -0.24157,  1.31906 
 4,  0.39015,  0.04547, -0.25313,  1.30407 
 5,  0.42502,  0.03487, -0.25166,  1.09386 
 6,  0.45690,  0.03188, -0.24834,  1.13452 
 7,  0.48500,  0.02810, -0.24111,  1.07469 
 8,  0.51114,  0.02615, -0.23286,  1.07779 
 9,  0.53540,  0.02426, -0.22341,  1.23683 
10,  0.55502,  0.01961, -0.20619,  1.02755 
11,  0.57410,  0.01909, -0.18967,  1.03321 
12,  0.59258,  0.01847, -0.17367,  1.09839 
13,  0.60940,  0.01682, -0.15547,  1.02208 
14,  0.62585,  0.01646, -0.13816,  1.12289 
15,  0.64051,  0.01465, -0.11776,  1.02465 
16,  0.65481,  0.01430, -0.09801,  1.03164 
17,  0.66867,  0.01386, -0.07865,  1.07042 
18,  0.68162,  0.01295, -0.05817,  1.03094 
19,  0.69419,  0.01256, -0.03807,  1.03774 
20,  0.70629,  0.01211, -0.01811,  1.06414 
21,  0.71767,  0.01138,  0.00274,  1.04076 
22,  0.72860,  0.01093,  0.02361,  1.02395 
23,  0.73928,  0.01068,  0.04383,  1.05782 
24,  0.74937,  0.01009,  0.06471,  1.02259 
25,  0.75924,  0.00987,  0.08489,  1.07318 
26,  0.76843,  0.00920,  0.10631,  0.96895 
27,  0.77792,  0.00949,  0.12481,  1.04902 
28,  0.78697,  0.00905,  0.14358,  1.06878 
29,  0.79543,  0.00846,  0.16339,  1.06445 
30,  0.80338,  0.00795,  0.18409,      NaN 
